ID_country|ISO_country|NAME_country|NAME_PRINT_country|ISO3_country|CODE_country|NAME_ESP_country|id_city|region_id|name_place|short_name_place|slug_place|group_id_place|province_id_place|group_slug_place|latitude|longitude|country_host_id_place|
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23941|23914|General Rodríguez|General Rodríguez|general-rodriguez|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23942|23914|Glew|Glew|glew|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23943|23914|Gobernador Julio A Costa|Gobernador Julio A Costa|gobernador-julio-a-costa|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23944|23914|González Catán|González Catán|gonzalez-catan|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23945|23914|Grand Bourg|Grand Bourg|grand-bourg|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23946|23914|Gregorio de Laferrere|Gregorio de Laferrere|gregorio-de-laferrere|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23947|23914|Isidro Casanova|Isidro Casanova|isidro-casanova|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23948|23914|Ituzaingó|Ituzaingó|ituzaingo|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23949|23914|José C. Paz|José C. Paz|jose-c-paz|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23950|23914|Junín|Junín|junin|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23951|23914|La Plata|La Plata|la-plata|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23952|23914|La Tablada|La Tablada|la-tablada|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23953|23914|Lanús|Lanús|lanus|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23954|23914|Libertad|Libertad|libertad|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23955|23914|Lomas de Zamora|Lomas de Zamora|lomas-de-zamora|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23956|23914|Lomas del Mirador|Lomas del Mirador|lomas-del-mirador|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23957|23914|Longchamps|Longchamps|longchamps|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23958|23914|Los Polvorines|Los Polvorines|los-polvorines|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23959|23914|Luján|Luján|lujan|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23960|23914|Mar del Plata|Mar del Plata|mar-del-plata|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23961|23914|Mariano Acosta|Mariano Acosta|mariano-acosta|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23962|23914|Martínez|Martínez|martinez|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23963|23914|Mercedes|Mercedes|mercedes|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23964|23914|Merlo|Merlo|merlo|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23965|23914|Monte Chingolo|Monte Chingolo|monte-chingolo|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23966|23914|Monte Grande|Monte Grande|monte-grande|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23967|23914|Moreno|Moreno|moreno|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23968|23914|Morón|Morón|moron|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23969|23914|Necochea|Necochea|necochea|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23970|23914|Olavarría|Olavarría|olavarria|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23971|23914|Olivos (no es ciudad sino barrio)|Olivos (no es ciudad sino barrio)|olivos-no-es-ciudad-sino-barrio|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23972|23914|Pergamino|Pergamino|pergamino|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23973|23914|Pilar|Pilar|pilar|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23974|23914|Presidente Perón|Presidente Perón|presidente-peron|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23975|23914|Punta Alta|Punta Alta|punta-alta|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23976|23914|Quilmes|Quilmes|quilmes|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23977|23914|Rafael Calzada|Rafael Calzada|rafael-calzada|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23978|23914|Rafael Castillo|Rafael Castillo|rafael-castillo|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23979|23914|Ramos Mejía|Ramos Mejía|ramos-mejia|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23980|23914|Remedios de Escalada|Remedios de Escalada|remedios-de-escalada|NULL|NULL|otros|NULL|NULL|1||
